SUBJECT;LABEL;DICE;HDRFDST
117122;Amygdala;0.36415215989684074;27.964262908219126
117122;GreyMatter;0.74212087364311;16.401219466856727
117122;Hippocampus;0.4885676852204049;34.66987164671943
117122;Thalamus;0.7298684951472391;43.977266854592045
117122;WhiteMatter;0.8202653769655589;17.74823934929885
117122-PP;Amygdala;0.36415215989684074;27.964262908219126
117122-PP;GreyMatter;0.74212087364311;16.401219466856727
117122-PP;Hippocampus;0.4885676852204049;34.66987164671943
117122-PP;Thalamus;0.7298684951472391;43.977266854592045
117122-PP;WhiteMatter;0.8202653769655589;17.74823934929885
118528;Amygdala;0.44942541813630676;26.076809620810597
118528;GreyMatter;0.7350794759499495;18.193405398660254
118528;Hippocampus;0.4615058474366675;33.54101966249684
118528;Thalamus;0.7099436275934213;30.773365106858236
118528;WhiteMatter;0.8355709676222972;25.337718918639855
118528-PP;Amygdala;0.44942541813630676;26.076809620810597
118528-PP;GreyMatter;0.7350794759499495;18.193405398660254
118528-PP;Hippocampus;0.4615058474366675;33.54101966249684
118528-PP;Thalamus;0.7099436275934213;30.773365106858236
118528-PP;WhiteMatter;0.8355709676222972;25.337718918639855
118730;Amygdala;0.4575871407355639;20.71231517720798
118730;GreyMatter;0.7404130144911653;19.026297590440446
118730;Hippocampus;0.43469940998245893;47.634021455258214
118730;Thalamus;0.6793410003201419;68.044103344816
118730;WhiteMatter;0.8243037226731418;17.804493814764857
118730-PP;Amygdala;0.4575871407355639;20.71231517720798
118730-PP;GreyMatter;0.7404130144911653;19.026297590440446
118730-PP;Hippocampus;0.43469940998245893;47.634021455258214
118730-PP;Thalamus;0.6793410003201419;68.044103344816
118730-PP;WhiteMatter;0.8243037226731418;17.804493814764857
118932;Amygdala;0.4165598094889174;28.142494558940577
118932;GreyMatter;0.7440696648306767;18.627936010197157
118932;Hippocampus;0.4320888117092533;44.553338819890925
118932;Thalamus;0.7178036521607355;59.84981202978001
118932;WhiteMatter;0.8453771063969024;20.346989949375804
118932-PP;Amygdala;0.4165598094889174;28.142494558940577
118932-PP;GreyMatter;0.7440696648306767;18.627936010197157
118932-PP;Hippocampus;0.4320888117092533;44.553338819890925
118932-PP;Thalamus;0.7178036521607355;59.84981202978001
118932-PP;WhiteMatter;0.8453771063969024;20.346989949375804
120111;Amygdala;0.4444444444444444;25.632011235952593
120111;GreyMatter;0.7257774932356336;17.233687939614086
120111;Hippocampus;0.46043558407865093;32.57299494980466
120111;Thalamus;0.7232901444350043;43.01162633521314
120111;WhiteMatter;0.862612051326754;23.065125189341593
120111-PP;Amygdala;0.4444444444444444;25.632011235952593
120111-PP;GreyMatter;0.7257774932356336;17.233687939614086
120111-PP;Hippocampus;0.46043558407865093;32.57299494980466
120111-PP;Thalamus;0.7232901444350043;43.01162633521314
120111-PP;WhiteMatter;0.862612051326754;23.065125189341593
122317;Amygdala;0.5113729149655897;26.0
122317;GreyMatter;0.7463380210231125;20.024984394500787
122317;Hippocampus;0.47041444398851046;30.099833886584822
122317;Thalamus;0.6436512228832402;38.8329756778952
122317;WhiteMatter;0.8395299385897291;21.095023109728988
122317-PP;Amygdala;0.5113729149655897;26.0
122317-PP;GreyMatter;0.7463380210231125;20.024984394500787
122317-PP;Hippocampus;0.47041444398851046;30.099833886584822
122317-PP;Thalamus;0.6436512228832402;38.8329756778952
122317-PP;WhiteMatter;0.8395299385897291;21.095023109728988
122620;Amygdala;0.5003597492034125;36.40054944640259
122620;GreyMatter;0.7499239497384564;20.808652046684813
122620;Hippocampus;0.3903765825858887;54.20332093147061
122620;Thalamus;0.6917267323320794;40.47221268969612
122620;WhiteMatter;0.8161866188211313;21.18962010041709
122620-PP;Amygdala;0.5003597492034125;36.40054944640259
122620-PP;GreyMatter;0.7499239497384564;20.808652046684813
122620-PP;Hippocampus;0.3903765825858887;54.20332093147061
122620-PP;Thalamus;0.6917267323320794;40.47221268969612
122620-PP;WhiteMatter;0.8161866188211313;21.18962010041709
123117;Amygdala;0.4103214124038026;23.280893453645632
123117;GreyMatter;0.7155731134878459;21.307275752662516
123117;Hippocampus;0.29455219271155036;59.61543424315552
123117;Thalamus;0.3686274509803922;60.8276253029822
123117;WhiteMatter;0.8577864087787266;21.494185260204677
123117-PP;Amygdala;0.4103214124038026;23.280893453645632
123117-PP;GreyMatter;0.7155731134878459;21.307275752662516
123117-PP;Hippocampus;0.29455219271155036;59.61543424315552
123117-PP;Thalamus;0.3686274509803922;60.8276253029822
123117-PP;WhiteMatter;0.8577864087787266;21.494185260204677
123925;Amygdala;0.5427824137501557;31.400636936215164
123925;GreyMatter;0.7308178270538924;17.05872210923198
123925;Hippocampus;0.41802771816230766;49.36598018878993
123925;Thalamus;0.7422917486156918;34.698703145794944
123925;WhiteMatter;0.8358398505305282;21.447610589527216
123925-PP;Amygdala;0.5427824137501557;31.400636936215164
123925-PP;GreyMatter;0.7308178270538924;17.05872210923198
123925-PP;Hippocampus;0.41802771816230766;49.36598018878993
123925-PP;Thalamus;0.7422917486156918;34.698703145794944
123925-PP;WhiteMatter;0.8358398505305282;21.447610589527216
124422;Amygdala;0.5485585076314302;27.477263328068172
124422;GreyMatter;0.729387583601899;17.916472867168917
124422;Hippocampus;0.4861562561190523;34.132096331752024
124422;Thalamus;0.7840279801807053;62.77738446287803
124422;WhiteMatter;0.787563906990994;19.390719429665317
124422-PP;Amygdala;0.5485585076314302;27.477263328068172
124422-PP;GreyMatter;0.729387583601899;17.916472867168917
124422-PP;Hippocampus;0.4861562561190523;34.132096331752024
