SUBJECT;LABEL;DICE;HDRFDST
117122;Amygdala;0.37052341597796146;25.632011235952593
117122;GreyMatter;0.7399360141922761;17.029386365926403
117122;Hippocampus;0.4885001892107808;46.486557196677836
117122;Thalamus;0.7468879668049793;45.14421336118285
117122;WhiteMatter;0.8190557264753029;17.549928774784245
117122-PP;Amygdala;0.37052341597796146;25.632011235952593
117122-PP;GreyMatter;0.7399360141922761;17.029386365926403
117122-PP;Hippocampus;0.4885001892107808;46.486557196677836
117122-PP;Thalamus;0.7468879668049793;45.14421336118285
117122-PP;WhiteMatter;0.8190557264753029;17.549928774784245
118528;Amygdala;0.45512302183204345;22.293496809607955
118528;GreyMatter;0.7359198609629991;18.867962264113206
118528;Hippocampus;0.4538696679171877;37.66961640367472
118528;Thalamus;0.7281892206281504;46.51881339845203
118528;WhiteMatter;0.8341742774085721;25.337718918639855
118528-PP;Amygdala;0.45512302183204345;22.293496809607955
118528-PP;GreyMatter;0.7359198609629991;18.867962264113206
118528-PP;Hippocampus;0.4538696679171877;37.66961640367472
118528-PP;Thalamus;0.7281892206281504;46.51881339845203
118528-PP;WhiteMatter;0.8341742774085721;25.337718918639855
118730;Amygdala;0.4821810737880339;64.51356446515724
118730;GreyMatter;0.7376822144773557;17.944358444926362
118730;Hippocampus;0.4437230828565919;59.08468498688979
118730;Thalamus;0.6900260104041617;42.04759208325728
118730;WhiteMatter;0.82699152268168;17.69180601295413
118730-PP;Amygdala;0.4821810737880339;64.51356446515724
118730-PP;GreyMatter;0.7376822144773557;17.944358444926362
118730-PP;Hippocampus;0.4437230828565919;59.08468498688979
118730-PP;Thalamus;0.6900260104041617;42.04759208325728
118730-PP;WhiteMatter;0.82699152268168;17.69180601295413
118932;Amygdala;0.45175958877026495;30.166206257996713
118932;GreyMatter;0.7427659140092279;18.627936010197157
118932;Hippocampus;0.447925324467745;33.95585369269929
118932;Thalamus;0.7314075303391764;52.23983154643591
