SUBJECT;LABEL;DICE;HDRFDST
117122;Amygdala;0.38883865133703654;78.30708780180757
117122;GreyMatter;0.724628994033614;17.11724276862369
117122;Hippocampus;0.3170602749383151;72.53964433328854
117122;Thalamus;0.6172325622881608;46.69047011971501
117122;WhiteMatter;0.8130143693268318;19.0
117122-PP;Amygdala;0.38883865133703654;78.30708780180757
117122-PP;GreyMatter;0.724628994033614;17.11724276862369
117122-PP;Hippocampus;0.3170602749383151;72.53964433328854
117122-PP;Thalamus;0.6172325622881608;46.69047011971501
117122-PP;WhiteMatter;0.8130143693268318;19.0
118528;Amygdala;0.39084072286451904;70.46985170979147
118528;GreyMatter;0.7228860979855757;19.026297590440446
118528;Hippocampus;0.28683424872946056;70.68946173228369
118528;Thalamus;0.6407214557947286;28.0178514522438
118528;WhiteMatter;0.8195225508574058;25.337718918639855
118528-PP;Amygdala;0.39084072286451904;70.46985170979147
118528-PP;GreyMatter;0.7228860979855757;19.026297590440446
118528-PP;Hippocampus;0.28683424872946056;70.68946173228369
118528-PP;Thalamus;0.6407214557947286;28.0178514522438
118528-PP;WhiteMatter;0.8195225508574058;25.337718918639855
118730;Amygdala;0.43372854362059815;66.73080248281148
118730;GreyMatter;0.7219061348934751;19.026297590440446
118730;Hippocampus;0.3339343304807131;76.12489737267302
118730;Thalamus;0.6464367589419971;41.012193308819754
118730;WhiteMatter;0.823491457063302;18.275666882497067
118730-PP;Amygdala;0.43372854362059815;66.73080248281148
118730-PP;GreyMatter;0.7219061348934751;19.026297590440446
118730-PP;Hippocampus;0.3339343304807131;76.12489737267302
118730-PP;Thalamus;0.6464367589419971;41.012193308819754
118730-PP;WhiteMatter;0.823491457063302;18.275666882497067
118932;Amygdala;0.3996783991423977;68.5638388656878
118932;GreyMatter;0.7268838823333245;18.627936010197157
118932;Hippocampus;0.32329757743762805;71.63099887618489
118932;Thalamus;0.6527242707760044;40.718546143004666
118932;WhiteMatter;0.8421831855537395;22.02271554554524
118932-PP;Amygdala;0.3996783991423977;68.5638388656878
118932-PP;GreyMatter;0.7268838823333245;18.627936010197157
118932-PP;Hippocampus;0.32329757743762805;71.63099887618489
118932-PP;Thalamus;0.6527242707760044;40.718546143004666
118932-PP;WhiteMatter;0.8421831855537395;22.02271554554524
120111;Amygdala;0.4445664105378705;69.51258878793107
120111;GreyMatter;0.7055078765127047;17.233687939614086
120111;Hippocampus;0.31992327494826106;67.84541251993387
120111;Thalamus;0.6501990405226089;37.013511046643494
120111;WhiteMatter;0.8591141085035605;20.639767440550294
120111-PP;Amygdala;0.4445664105378705;69.51258878793107
120111-PP;GreyMatter;0.7055078765127047;17.233687939614086
120111-PP;Hippocampus;0.31992327494826106;67.84541251993387
120111-PP;Thalamus;0.6501990405226089;37.013511046643494
120111-PP;WhiteMatter;0.8591141085035605;20.639767440550294
122317;Amygdala;0.4436997319034853;75.79577824654879
122317;GreyMatter;0.7278762522300296;20.024984394500787
122317;Hippocampus;0.3179650238473768;81.61494961096282
122317;Thalamus;0.5787449746547806;39.05124837953327
122317;WhiteMatter;0.8382487440562107;21.118712081942874
122317-PP;Amygdala;0.4436997319034853;75.79577824654879
122317-PP;GreyMatter;0.7278762522300296;20.024984394500787
122317-PP;Hippocampus;0.3179650238473768;81.61494961096282
122317-PP;Thalamus;0.5787449746547806;39.05124837953327
122317-PP;WhiteMatter;0.8382487440562107;21.118712081942874
122620;Amygdala;0.47671863555509053;69.23871749245504
122620;GreyMatter;0.73266140634879;20.808652046684813
122620;Hippocampus;0.286788089043076;73.79024325749306
122620;Thalamus;0.6473037964480507;39.26830783214372
122620;WhiteMatter;0.8093663270462549;28.600699292150182
122620-PP;Amygdala;0.47671863555509053;69.23871749245504
122620-PP;GreyMatter;0.73266140634879;20.808652046684813
122620-PP;Hippocampus;0.286788089043076;73.79024325749306
122620-PP;Thalamus;0.6473037964480507;39.26830783214372
122620-PP;WhiteMatter;0.8093663270462549;28.600699292150182
123117;Amygdala;0.36042022088533715;38.40572873934304
123117;GreyMatter;0.6993606176198995;21.307275752662516
123117;Hippocampus;0.2637746528699036;67.14908785679818
