SUBJECT;LABEL;DICE;HDRFDST
117122;Amygdala;0.44407158836689037;19.4164878389476
117122;GreyMatter;0.7105842808593547;2.8284271247461903
117122;Hippocampus;0.3354237892484846;17.146428199482248
117122;Thalamus;0.7175486205336952;7.874007874011811
117122;WhiteMatter;0.7851372359997556;5.0990195135927845
117122-PP;Amygdala;0.0;inf
117122-PP;GreyMatter;0.00010260518511356618;116.07325273291862
117122-PP;Hippocampus;0.0;inf
117122-PP;Thalamus;0.0012792928999244054;17.72004514666935
117122-PP;WhiteMatter;0.010256753198443515;39.06404996924922
118528;Amygdala;0.3457373178079961;16.76305461424021
118528;GreyMatter;0.6905384209810755;6.164414002968976
118528;Hippocampus;0.27508281526523576;19.4164878389476
118528;Thalamus;0.6408426183844012;12.884098726725126
118528;WhiteMatter;0.8299556352254625;5.0990195135927845
118528-PP;Amygdala;0.0;inf
118528-PP;GreyMatter;0.00030526791913378364;115.68059474259285
118528-PP;Hippocampus;0.0;inf
118528-PP;Thalamus;0.001213123793768955;19.72308292331602
118528-PP;WhiteMatter;0.0023572830223377644;52.820450584977024
118730;Amygdala;0.4628180844931236;20.42057785666214
118730;GreyMatter;0.7114167651684625;3.1622776601683795
118730;Hippocampus;0.28791953726559333;17.72004514666935
118730;Thalamus;0.7009118939841239;12.68857754044952
118730;WhiteMatter;0.7951348507104469;4.898979485566356
118730-PP;Amygdala;0.0;inf
118730-PP;GreyMatter;0.00018164828351105173;106.18851161966627
118730-PP;Hippocampus;0.0;inf
118730-PP;Thalamus;0.002484766017866651;17.52141546793523
118730-PP;WhiteMatter;0.001139567374641891;49.01020301937138
118932;Amygdala;0.459924009408359;17.97220075561143
118932;GreyMatter;0.7244725267731457;3.0
118932;Hippocampus;0.3106788754289181;16.881943016134134
118932;Thalamus;0.7117650833030348;10.246950765959598
118932;WhiteMatter;0.7914727655204595;5.0
118932-PP;Amygdala;0.0;inf
118932-PP;GreyMatter;0.00027806693570236855;80.38034585643433
118932-PP;Hippocampus;0.0;inf
118932-PP;Thalamus;0.0010655301012253596;20.808652046684813
118932-PP;WhiteMatter;0.006667496871421018;52.5642464038057
120111;Amygdala;0.43191788759208677;16.61324772583615
120111;GreyMatter;0.7030229847319329;3.3166247903554
120111;Hippocampus;0.31079395362488993;17.4928556845359
120111;Thalamus;0.65768748329255;15.937377450509228
120111;WhiteMatter;0.8311387189381179;4.242640687119285
120111-PP;Amygdala;0.0;inf
120111-PP;GreyMatter;5.2251433899926444e-05;119.93748371547571
120111-PP;Hippocampus;0.00023033513762524472;62.457985878508765
120111-PP;Thalamus;0.003692720863872881;13.038404810405298
120111-PP;WhiteMatter;0.008359874111904716;42.15447781671598
122317;Amygdala;0.5066858117203625;18.24828759089466
122317;GreyMatter;0.7195603154651915;3.0
122317;Hippocampus;0.3073281055145738;17.029386365926403
122317;Thalamus;0.7227938591351225;8.12403840463596
122317;WhiteMatter;0.8026564719973739;5.0
122317-PP;Amygdala;0.0;inf
122317-PP;GreyMatter;8.742537958769431e-05;122.65398485169571
122317-PP;Hippocampus;0.0;inf
122317-PP;Thalamus;0.0029554830367588204;12.68857754044952
122317-PP;WhiteMatter;0.010382572624057356;38.3275357934736
122620;Amygdala;0.48098580055492085;16.55294535724685
122620;GreyMatter;0.7199602256585089;4.58257569495584
122620;Hippocampus;0.2876130260384798;17.97220075561143
122620;Thalamus;0.705031797389267;8.774964387392123
122620;WhiteMatter;0.8036867662554656;5.385164807134504
122620-PP;Amygdala;0.0;inf
122620-PP;GreyMatter;0.0014899922788021475;111.35977729862789
122620-PP;Hippocampus;0.00020510716849553892;63.071388124885914
122620-PP;Thalamus;0.002111345705078342;14.966629547095765
122620-PP;WhiteMatter;0.004957659948151329;45.8257569495584
123117;Amygdala;0.4589752776782515;16.822603841260722
123117;GreyMatter;0.7044377117926434;4.358898943540674
123117;Hippocampus;0.30515964286361086;18.05547008526779
123117;Thalamus;0.6907827421555253;15.84297951775486
123117;WhiteMatter;0.8087273972010914;5.0990195135927845
123117-PP;Amygdala;0.0;inf
123117-PP;GreyMatter;0.00010413171504934686;122.20474622534103
123117-PP;Hippocampus;0.0;inf
123117-PP;Thalamus;0.0010182147301730966;16.30950643030009
123117-PP;WhiteMatter;0.009217865658576338;47.50789408087881
123925;Amygdala;0.44365893611518237;14.560219778561036
123925;GreyMatter;0.7011328998408245;3.1622776601683795
123925;Hippocampus;0.3127521392260796;17.4928556845359
123925;Thalamus;0.733747550143864;8.717797887081348
123925;WhiteMatter;0.7984328941069764;5.0
123925-PP;Amygdala;0.0;inf
123925-PP;GreyMatter;3.298166631623646e-05;108.8577052853862
123925-PP;Hippocampus;0.0;62.289646009589745
123925-PP;Thalamus;0.003490955252300857;15.0
123925-PP;WhiteMatter;0.010750013041262555;36.932370625238775
124422;Amygdala;0.522219553206822;14.594519519326424
124422;GreyMatter;0.7030825445979407;3.0
124422;Hippocampus;0.3129108202278934;16.73320053068151
124422;Thalamus;0.7641255605381166;7.810249675906654
124422;WhiteMatter;0.7711910036093798;5.0
124422-PP;Amygdala;0.0;inf
124422-PP;GreyMatter;3.556658558802434e-05;101.53324578678651
124422-PP;Hippocampus;0.00022219753360737697;35.02855977627399
124422-PP;Thalamus;0.00200389646534929;14.491376746189438
124422-PP;WhiteMatter;0.0032751369067278886;46.16275555033516
