SUBJECT;LABEL;DICE;HDRFDST
117122;Amygdala;0.2166752444673186;37.54996671103717
117122;GreyMatter;0.7015362949821694;17.291616465790582
117122;Hippocampus;0.241041398496865;77.03246069028303
117122;Thalamus;0.4594405288272118;46.69047011971501
117122;WhiteMatter;0.7941697690712018;16.401219466856727
117122-PP;Amygdala;0.2166752444673186;37.54996671103717
117122-PP;GreyMatter;0.7015362949821694;17.291616465790582
117122-PP;Hippocampus;0.241041398496865;77.03246069028303
117122-PP;Thalamus;0.4594405288272118;46.69047011971501
117122-PP;WhiteMatter;0.7941697690712018;16.401219466856727
118528;Amygdala;0.24199636516147072;35.86084215408221
118528;GreyMatter;0.6958364566848978;18.867962264113206
118528;Hippocampus;0.19199081472746737;69.02897942168927
118528;Thalamus;0.48635419451699813;46.22769732530488
118528;WhiteMatter;0.8064343488668839;17.4928556845359
118528-PP;Amygdala;0.24199636516147072;35.86084215408221
118528-PP;GreyMatter;0.6958364566848978;18.867962264113206
118528-PP;Hippocampus;0.19199081472746737;69.02897942168927
118528-PP;Thalamus;0.48635419451699813;46.22769732530488
118528-PP;WhiteMatter;0.8064343488668839;17.4928556845359
118730;Amygdala;0.2552616535883178;40.024992192379
118730;GreyMatter;0.7045592156566315;18.788294228055936
118730;Hippocampus;0.2932263393910786;49.49747468305833
118730;Thalamus;0.47486855167849396;48.05205510693585
118730;WhiteMatter;0.8057784651010083;17.69180601295413
118730-PP;Amygdala;0.2552616535883178;40.024992192379
118730-PP;GreyMatter;0.7045592156566315;18.788294228055936
118730-PP;Hippocampus;0.2932263393910786;49.49747468305833
118730-PP;Thalamus;0.47486855167849396;48.05205510693585
118730-PP;WhiteMatter;0.8057784651010083;17.69180601295413
118932;Amygdala;0.23172056921086676;40.162171256046406
118932;GreyMatter;0.7098474365641058;19.44222209522358
118932;Hippocampus;0.25529872523421904;53.094255809833136
118932;Thalamus;0.4669712692635329;48.67237409455183
118932;WhiteMatter;0.8269267810084137;19.82422760159901
118932-PP;Amygdala;0.23172056921086676;40.162171256046406
118932-PP;GreyMatter;0.7098474365641058;19.44222209522358
118932-PP;Hippocampus;0.25529872523421904;53.094255809833136
118932-PP;Thalamus;0.4669712692635329;48.67237409455183
118932-PP;WhiteMatter;0.8269267810084137;19.82422760159901
120111;Amygdala;0.2529148903384868;35.34119409414458
120111;GreyMatter;0.6854304514446081;16.911534525287763
120111;Hippocampus;0.23731239220579062;52.81098370604357
120111;Thalamus;0.5219885671832759;48.579831205964474
120111;WhiteMatter;0.8457540257269447;21.0
120111-PP;Amygdala;0.2529148903384868;35.34119409414458
