SUBJECT;LABEL;DICE;HDRFDST
117122;Amygdala;0.3906691221608349;32.202484376209235
117122;GreyMatter;0.729163053694652;17.435595774162696
117122;Hippocampus;0.3217723543523976;80.78366171448283
117122;Thalamus;0.6186428127128936;46.69047011971501
117122;WhiteMatter;0.8152068193267461;15.588457268119896
117122-PP;Amygdala;0.3906691221608349;32.202484376209235
117122-PP;GreyMatter;0.729163053694652;17.435595774162696
117122-PP;Hippocampus;0.3217723543523976;80.78366171448283
117122-PP;Thalamus;0.6186428127128936;46.69047011971501
117122-PP;WhiteMatter;0.8152068193267461;15.588457268119896
118528;Amygdala;0.39517279210093254;26.476404589747453
118528;GreyMatter;0.7250580094558526;18.867962264113206
118528;Hippocampus;0.30534979423868314;60.8276253029822
118528;Thalamus;0.6283031805474972;37.16180835212409
118528;WhiteMatter;0.8215368722498644;18.708286933869708
118528-PP;Amygdala;0.39517279210093254;26.476404589747453
118528-PP;GreyMatter;0.7250580094558526;18.867962264113206
118528-PP;Hippocampus;0.30534979423868314;60.8276253029822
118528-PP;Thalamus;0.6283031805474972;37.16180835212409
118528-PP;WhiteMatter;0.8215368722498644;18.708286933869708
118730;Amygdala;0.4231365123084868;21.118712081942874
118730;GreyMatter;0.7245148428495779;19.28730152198591
118730;Hippocampus;0.3360113541323466;59.08468498688979
118730;Thalamus;0.6494348116451062;43.88621651498338
118730;WhiteMatter;0.8269282429077293;15.556349186104045
118730-PP;Amygdala;0.4231365123084868;21.118712081942874
118730-PP;GreyMatter;0.7245148428495779;19.28730152198591
118730-PP;Hippocampus;0.3360113541323466;59.08468498688979
118730-PP;Thalamus;0.6494348116451062;43.88621651498338
118730-PP;WhiteMatter;0.8269282429077293;15.556349186104045
118932;Amygdala;0.38794074330763234;32.449961479175904
118932;GreyMatter;0.7288886736641607;19.05255888325765
118932;Hippocampus;0.31904727946944306;77.88452991448301
118932;Thalamus;0.6421764444792564;42.2965719651132
118932;WhiteMatter;0.8451669179787495;19.339079605813716
118932-PP;Amygdala;0.38794074330763234;32.449961479175904
118932-PP;GreyMatter;0.7288886736641607;19.05255888325765
118932-PP;Hippocampus;0.31904727946944306;77.88452991448301
118932-PP;Thalamus;0.6421764444792564;42.2965719651132
118932-PP;WhiteMatter;0.8451669179787495;19.339079605813716
120111;Amygdala;0.4334332569211779;29.49576240750525
120111;GreyMatter;0.7076465209871738;17.52141546793523
120111;Hippocampus;0.3163819295711511;60.6217782649107
120111;Thalamus;0.6472894690243101;42.391036788453285
120111;WhiteMatter;0.864281670372818;16.673332000533065
